Temperature,Partition Function No Spliting,Partition Function SOC Spliting,Partition Function SOC + CFS Spliting,Internal Energy No Spliting,Internal Energy SOC Spliting,Internal Energy SOC + CFS Spliting,Free Energy No Spliting,Free Energy SOC Spliting,Free Energy SOC + CFS Spliting,Entropy No Spliting,Entropy SOC Spliting,Entropy SOC + CFS Spliting
1367.6280164802824,14.0,6.743491266985476,5.267342401604379,-2.842170943040401e-14,0.030870897465405278,0.047447312942296094,-2.842170943040401e-14,0.030870897465405278,0.047447312942296094,0.00022741636507203622,0.00018704107875561204,0.0001778723545798333
1368.628605061801,14.0,6.744783795649849,5.268893935169985,8.526512829121202e-14,0.03091863900675662,0.04750526978909875,8.526512829121202e-14,0.03091863900675662,0.04750526978909875,0.00022741636507203622,0.00018707597428620215,0.00017791471674415138
1369.6291936433195,14.0,6.746076677872491,5.270445549713238,2.842170943040401e-14,0.030966375305496285,0.0475632151849652,2.842170943040401e-14,0.030966375305496285,0.0475632151849652,0.00022741636507200846,0.00018711084048528281,0.00017795703958561893
1370.629782224838,14.0,6.747369911853082,5.271997244104419,-0.0,0.031014106290797372,0.04762114907106252,-0.0,0.031014106290797372,0.04762114907106252,0.00022741636507200846,0.00018714567734395837,0.00017799932311876598
1371.6303708063565,14.0,6.748663495794938,5.273549017216007,-0.0,0.03106183189197509,0.047679071388841976,-0.0,0.03106183189197509,0.047679071388841976,0.0002274163650719807,0.00018718048485347194,0.0001780415673581781
1372.6309593878752,14.0,6.749957427905014,5.275100867922678,-2.842170943040401e-14,0.031109552038543598,0.04773698207986854,-2.842170943040401e-14,0.031109552038543598,0.04773698207986854,0.00022741636507203622,0.0001872152630053303,0.0001780837723187323
1373.6315479693938,14.0,6.751251706393898,5.2766527951013,2.842170943040401e-14,0.03115726666035812,0.047794881086048235,2.842170943040401e-14,0.03115726666035812,0.047794881086048235,0.00022741636507203622,0.00018725001179113743,0.00017812593801515286
1374.6321365509123,14.0,6.7525463294758055,5.2782047976309325,-0.0,0.03120497568738756,0.0478527683491734,-0.0,0.03120497568738756,0.0478527683491734,0.00022741636507200846,0.00018728473120277478,0.0001781680644623862
1375.6327251324308,14.0,6.75384129536858,5.279756874392825,-0.0,0.03125267904999873,0.04791064381157639,-0.0,0.03125267904999873,0.04791064381157639,0.00022741636507200846,0.00018731942123231815,0.00017821015167562848
1376.6333137139493,14.0,6.755136602293687,5.2813090242704135,5.684341886080802e-14,0.03130037667867214,0.0479685074156464,5.684341886080802e-14,0.03130037667867214,0.0479685074156464,0.00022741636507200846,0.00018735408187196823,0.00017825219967004813
1377.6339022954678,14.0,6.756432248476211,5.282861246149318,-0.0,0.03134806850403038,0.04802635910394315,-0.0,0.03134806850403038,0.04802635910394315,0.00022741636507200846,0.00018738871311414773,0.00017829420846089683
1378.6344908769863,14.0,6.757728232144852,5.284413538917341,2.842170943040401e-14,0.0313957544572645,0.048084198819282165,2.842170943040401e-14,0.0313957544572645,0.048084198819282165,0.00022741636507200846,0.00018742331495147369,0.00017833617806362057
1379.6350794585048,14.0,6.75902455153192,5.285965901464461,2.842170943040401e-14,0.0314434344695087,0.04814202650464949,2.842170943040401e-14,0.0314434344695087,0.04814202650464949,0.00022741636507203622,0.00018745788737674351,0.00017837810849377633
1380.6356680400236,14.0,6.760321204873335,5.2875183326828425,-0.0,0.03149110847223824,0.04819984210328698,-0.0,0.03149110847223824,0.04819984210328698,0.00022741636507200846,0.00018749243038300445,0.00017841999976699052
1381.636256621542,14.0,6.7616181904086226,5.289070831466814,2.842170943040401e-14,0.03153877639721259,0.0482576455584649,2.842170943040401e-14,0.03153877639721259,0.0482576455584649,0.00022741636507200846,0.00018752694396334535,0.00017846185189891728
1382.6368452030606,14.0,6.762915506380906,5.290623396712882,-0.0,0.03158643817619122,0.048315436813766155,-0.0,0.03158643817619122,0.048315436813766155,0.00022741636507203622,0.0001875614281111604,0.00017850366490547442
1383.6374337845791,14.0,6.764213151036906,5.292176027319721,-0.0,0.03163409374153048,0.04837321581308629,-0.0,0.03163409374153048,0.04837321581308629,0.00022741636507200846,0.00018759588282002415,0.00017854543880266305
1384.6380223660976,14.0,6.7655111226269415,5.293728722188178,-0.0,0.031681743025615106,0.04843098250026401,-0.0,0.031681743025615106,0.04843098250026401,0.00022741636507200846,0.00018763030808363612,0.00017858717360648424
1385.6386109476161,14.0,6.7668094194049155,5.295281480221257,-0.0,0.031729385961085654,0.04848873681956434,-0.0,0.031729385961085654,0.04848873681956434,0.00022741636507200846,0.00018766470389594558,0.00017862886933310562
1386.6391995291347,14.0,6.768108039628321,5.29683430032413,-5.684341886080802e-14,0.03177702248072478,0.048546478715252306,-5.684341886080802e-14,0.03177702248072478,0.048546478715252306,0.00022741636507200846,0.0001876990702510406,0.00017867052599886135
1387.6397881106532,14.0,6.769406981558231,5.298387181404128,2.842170943040401e-14,0.03182465251779831,0.04860420813196242,2.842170943040401e-14,0.03182465251779831,0.04860420813196242,0.00022741636507203622,0.00018773340714312026,0.00017871214362004395
1388.6403766921717,14.0,6.770706243459299,5.29994012237074,-0.0,0.031872276005543654,0.048661925014442886,-0.0,0.031872276005543654,0.048661925014442886,0.00022741636507200846,0.00018776771456670283,0.000178753722213168
1389.6409652736904,14.0,6.772005823599753,5.301493122135611,5.684341886080802e-14,0.03191989287753927,0.04871962930755558,5.684341886080802e-14,0.03191989287753927,0.04871962930755558,0.00022741636507200846,0.00018780199251650087,0.00017879526179490068
1390.641553855209,14.0,6.77330572025139,5.3030461796125365,-2.842170943040401e-14,0.03196750306761942,0.0487773209564466,-2.842170943040401e-14,0.03196750306761942,0.0487773209564466,0.00022741636507200846,0.00018783624098721308,0.000178836762381826
1391.6421424367275,14.0,6.774605931689577,5.304599293717465,5.684341886080802e-14,0.03201510650990258,0.048834999906574694,5.684341886080802e-14,0.03201510650990258,0.048834999906574694,0.00022741636507200846,0.00018787045997389895,0.00017887822399077768
1392.642731018246,14.0,6.775906456193245,5.306152463368493,2.842170943040401e-14,0.03206270313853565,0.04889266610325649,2.842170943040401e-14,0.03206270313853565,0.04889266610325649,0.00022741636507203622,0.0001879046494716874,0.00017891964663867277
